iter	Passed	Remaining
0	1	1849
1	3	1788
2	5	1867
3	7	1754
4	8	1731
5	10	1739
6	12	1722
7	13	1702
8	15	1755
9	17	1717
10	19	1738
11	20	1719
12	22	1718
13	23	1684
14	25	1652
15	26	1622
16	27	1606
17	29	1600
18	30	1578
19	31	1563
20	33	1574
21	35	1574
22	36	1566
23	38	1561
24	39	1556
25	41	1546
26	43	1551
27	44	1557
28	46	1549
29	48	1561
30	49	1551
31	51	1548
32	52	1546
33	54	1542
34	55	1540
35	57	1552
36	59	1552
37	61	1548
38	62	1549
39	64	1544
40	65	1535
41	66	1527
42	68	1518
43	69	1509
44	70	1500
45	72	1499
46	73	1491
47	74	1484
48	76	1476
49	77	1478
50	79	1477
51	80	1470
52	81	1463
53	83	1457
54	84	1451
55	85	1449
56	87	1443
57	88	1437
58	89	1431
59	90	1425
60	92	1427
61	94	1427
62	95	1422
63	96	1416
64	98	1410
65	99	1406
66	100	1404
67	101	1391
68	102	1386
69	104	1382
70	105	1377
71	106	1376
72	109	1388
73	111	1391
74	112	1388
75	114	1386
76	115	1386
77	119	1410
78	123	1436
79	125	1439
80	127	1441
81	128	1440
82	130	1439
83	132	1447
84	134	1445
85	136	1446
86	142	1492
87	144	1498
88	146	1496
89	151	1529
90	154	1539
91	155	1535
92	157	1535
93	159	1533
94	161	1537
95	164	1552
96	168	1565
97	169	1561
98	171	1556
99	172	1555
100	174	1550
101	174	1540
102	176	1536
103	178	1533
104	179	1532
105	181	1530
106	182	1526
107	184	1521
108	185	1516
109	186	1510
110	187	1505
111	189	1500
112	190	1496
113	192	1492
114	193	1487
115	194	1480
116	195	1475
117	197	1474
118	198	1468
119	199	1463
120	200	1458
121	202	1454
122	202	1445
123	204	1441
124	205	1437
125	206	1434
126	208	1432
127	209	1425
128	210	1422
129	212	1419
130	213	1415
131	214	1411
132	215	1407
133	217	1403
134	218	1398
135	219	1396
136	221	1393
137	222	1388
138	223	1384
139	224	1381
140	226	1379
141	227	1376
142	229	1372
143	230	1368
144	231	1364
145	232	1361
146	233	1357
147	235	1354
148	236	1351
149	237	1347
150	239	1344
151	240	1341
152	241	1338
153	243	1334
154	244	1331
155	245	1328
156	246	1324
157	248	1322
158	249	1318
159	250	1315
160	251	1312
161	253	1308
162	254	1305
163	255	1303
164	257	1300
165	258	1297
166	259	1294
167	260	1291
168	262	1290
169	263	1288
170	265	1285
171	266	1283
172	268	1281
173	269	1278
174	270	1276
175	272	1274
176	273	1272
177	274	1269
178	276	1268
179	277	1265
180	278	1259
181	279	1256
182	280	1254
183	282	1251
184	283	1248
185	284	1245
186	285	1242
187	287	1239
188	288	1237
189	289	1234
190	290	1232
191	292	1229
192	293	1227
193	294	1224
194	296	1221
195	297	1219
196	298	1216
197	299	1214
198	301	1211
199	302	1209
200	303	1206
201	305	1205
202	306	1204
203	308	1203
204	309	1201
205	311	1200
206	313	1199
207	314	1197
208	316	1198
209	318	1196
210	319	1194
211	322	1198
212	323	1197
213	325	1196
214	327	1194
215	328	1193
216	331	1197
217	333	1195
218	334	1194
219	337	1195
220	339	1196
221	341	1195
222	342	1193
223	344	1191
224	346	1193
225	348	1194
226	350	1192
227	351	1191
228	353	1189
229	354	1186
230	355	1184
231	357	1181
232	358	1180
233	362	1186
234	365	1188
235	367	1188
236	368	1186
237	370	1185
238	371	1183
239	373	1182
240	374	1180
241	377	1180
242	378	1179
243	380	1177
244	381	1175
245	382	1172
246	383	1170
247	385	1167
248	386	1165
249	388	1164
250	389	1161
251	391	1161
252	392	1160
253	395	1160
254	396	1157
255	397	1155
256	398	1152
257	399	1150
258	401	1148
259	402	1146
260	404	1144
261	406	1145
262	408	1145
263	410	1143
264	411	1141
265	412	1138
266	414	1136
267	415	1134
268	416	1132
269	417	1130
270	419	1128
271	421	1129
272	423	1128
273	425	1126
274	426	1124
275	427	1122
276	429	1120
277	430	1118
278	432	1116
279	433	1114
280	434	1111
281	438	1115
282	439	1114
283	441	1112
284	442	1110
285	443	1107
286	445	1106
287	446	1104
288	447	1101
289	449	1099
290	450	1097
291	452	1097
292	454	1095
293	455	1094
294	456	1092
295	458	1090
296	459	1088
297	461	1086
298	462	1084
299	463	1081
300	464	1079
301	466	1078
302	468	1076
303	469	1075
304	471	1073
305	472	1071
306	473	1069
307	475	1067
308	476	1065
309	477	1062
310	478	1060
311	481	1061
312	482	1059
313	484	1058
314	485	1056
315	486	1054
316	488	1052
317	489	1049
318	490	1047
319	492	1045
320	493	1043
321	494	1041
322	496	1040
323	497	1038
324	499	1036
325	501	1036
326	503	1035
327	504	1033
328	505	1031
329	506	1029
330	508	1027
331	510	1026
332	511	1024
333	513	1023
334	514	1021
335	516	1020
336	517	1018
337	518	1016
338	520	1014
339	521	1012
340	522	1010
341	524	1009
342	526	1008
343	527	1006
344	529	1005
345	531	1004
346	532	1002
347	534	1001
348	535	999
349	537	998
350	539	997
351	541	996
352	543	996
353	545	996
354	547	993
355	548	991
356	549	989
357	550	987
358	552	986
359	553	984
360	557	986
361	558	984
362	560	982
363	561	980
364	562	978
365	563	976
366	565	974
367	566	973
368	567	970
369	569	969
370	571	969
371	573	968
372	574	966
373	576	964
374	577	962
375	578	960
376	580	958
377	581	957
378	583	955
379	584	953
380	586	953
381	588	952
382	590	950
383	591	948
384	592	946
385	593	944
386	595	942
387	596	940
388	597	938
389	599	937
390	603	939
391	604	938
392	606	936
393	607	934
394	608	932
395	609	930
396	611	928
397	612	926
398	613	924
399	616	925
400	618	924
401	619	922
402	621	920
403	622	918
404	623	916
405	625	914
406	626	912
407	627	911
408	629	909
409	632	909
410	633	908
411	635	906
412	636	904
413	638	903
414	639	901
415	641	899
416	642	897
417	643	895
418	646	896
419	647	894
420	649	893
421	650	891
422	651	889
423	653	887
424	654	885
425	655	883
426	656	881
427	658	879
428	659	877
429	661	876
430	662	874
431	664	873
432	665	871
433	666	869
434	668	867
435	669	865
436	670	863
437	671	862
438	673	860
439	674	858
440	676	857
441	677	855
442	679	854
443	681	852
444	682	850
445	683	849
446	684	847
447	686	845
448	687	843
449	689	842
450	691	841
451	692	839
452	694	838
453	695	836
454	696	834
455	698	832
456	699	831
457	700	829
458	702	827
459	704	826
460	706	825
461	707	823
462	709	822
463	710	821
464	712	819
465	713	817
466	714	815
467	715	813
468	717	812
469	718	810
470	720	809
471	721	807
472	723	805
473	724	804
474	726	802
475	727	801
476	728	799
477	730	797
478	732	796
479	734	795
480	736	794
481	739	794
482	740	792
483	741	790
484	743	789
485	744	787
486	745	785
487	746	783
488	748	781
489	749	780
490	751	779
491	752	777
492	754	775
493	755	773
494	756	771
495	757	770
496	759	768
497	760	766
498	761	764
499	762	762
500	764	761
501	765	759
502	767	758
503	768	756
504	769	754
505	771	753
506	772	751
507	773	749
508	775	748
509	777	746
510	778	744
511	780	743
512	781	742
513	783	740
514	784	738
515	786	737
516	787	735
517	788	733
518	790	732
519	793	732
520	795	730
521	796	729
522	798	727
523	799	726
524	800	724
525	802	723
526	803	721
527	804	719
528	806	717
529	807	716
530	808	714
531	810	712
532	811	711
533	813	709
534	814	708
535	816	706
536	817	705
537	819	703
538	820	701
539	821	699
540	822	698
541	824	697
542	826	695
543	827	693
544	829	692
545	830	690
546	831	688
547	833	687
548	834	685
549	835	683
550	837	682
551	839	681
552	841	680
553	842	678
554	844	676
555	845	675
556	847	673
557	848	672
558	850	670
559	851	669
560	852	667
561	855	666
562	857	665
563	859	664
564	860	662
565	862	661
566	863	659
567	864	657
568	866	656
569	873	658
570	875	657
571	876	656
572	878	654
573	881	653
574	883	653
575	887	653
576	888	651
577	889	649
578	891	648
579	892	646
580	894	644
581	895	643
582	897	641
583	900	641
584	902	640
585	904	638
586	905	637
587	906	635
588	908	633
589	910	632
590	911	630
591	912	629
592	915	628
593	917	627
594	919	625
595	920	623
596	921	622
597	923	620
598	924	618
599	925	616
600	926	615
601	928	613
602	932	613
603	933	611
604	934	610
605	935	608
606	937	606
607	938	604
608	939	603
609	940	601
610	942	599
611	943	598
612	945	597
613	946	595
614	948	593
615	949	591
616	950	590
617	952	588
618	953	586
619	955	585
620	956	583
621	957	581
622	958	580
623	960	578
624	961	577
625	963	575
626	964	573
627	965	571
628	966	570
629	967	568
630	969	566
631	970	564
632	971	563
633	972	561
634	974	559
635	975	558
636	976	556
637	977	554
638	979	553
639	980	551
640	981	549
641	982	548
642	984	546
643	985	544
644	986	543
645	987	541
646	989	539
647	990	538
648	991	536
649	992	534
650	993	532
651	995	531
652	996	529
653	998	528
654	999	526
655	1000	524
656	1002	523
657	1003	521
658	1004	519
659	1005	518
660	1007	516
661	1008	514
662	1009	513
663	1011	511
664	1012	510
665	1013	508
666	1015	506
667	1016	505
668	1018	503
669	1019	502
670	1020	500
671	1022	498
672	1023	497
673	1025	495
674	1027	494
675	1028	492
676	1029	491
677	1031	489
678	1033	488
679	1034	486
680	1036	485
681	1037	483
682	1038	482
683	1039	480
684	1041	478
685	1042	477
686	1043	475
687	1044	473
688	1046	472
689	1047	470
690	1048	468
691	1049	467
692	1051	465
693	1052	464
694	1053	462
695	1054	460
696	1056	459
697	1057	457
698	1058	455
699	1060	454
700	1061	452
701	1062	451
702	1064	449
703	1065	447
704	1066	446
705	1067	444
706	1068	442
707	1070	441
708	1071	439
709	1072	438
710	1073	436
711	1075	434
712	1076	433
713	1077	431
714	1078	429
715	1080	428
716	1081	426
717	1082	425
718	1083	423
719	1085	421
720	1086	420
721	1087	418
722	1088	417
723	1090	415
724	1091	413
725	1092	412
726	1093	410
727	1095	409
728	1096	407
729	1098	406
730	1099	404
731	1100	402
732	1101	401
733	1103	399
734	1104	398
735	1105	396
736	1106	394
737	1108	393
738	1110	392
739	1112	390
740	1114	389
741	1117	388
742	1118	386
743	1120	385
744	1121	383
745	1122	382
746	1124	380
747	1125	379
748	1127	377
749	1128	376
750	1129	374
751	1130	372
752	1132	371
753	1133	369
754	1134	368
755	1136	366
756	1137	365
757	1139	363
758	1140	362
759	1142	360
760	1143	359
761	1144	357
762	1146	355
763	1147	354
764	1148	352
765	1149	351
766	1151	349
767	1152	348
768	1153	346
769	1155	345
770	1156	343
771	1157	341
772	1159	340
773	1160	338
774	1161	337
775	1162	335
776	1163	334
777	1165	332
778	1166	331
779	1168	329
780	1169	328
781	1171	326
782	1172	324
783	1173	323
784	1175	321
785	1176	320
786	1177	318
787	1179	317
788	1180	315
789	1182	314
790	1183	312
791	1185	311
792	1187	309
793	1188	308
794	1190	306
795	1191	305
796	1192	303
797	1194	302
798	1196	300
799	1197	299
800	1199	297
801	1200	296
802	1201	294
803	1203	293
804	1204	291
805	1205	290
806	1207	288
807	1208	287
808	1209	285
809	1210	284
810	1212	282
811	1214	281
812	1215	279
813	1217	278
814	1218	276
815	1220	275
816	1221	273
817	1222	272
818	1224	270
819	1225	269
820	1226	267
821	1228	266
822	1230	264
823	1231	263
824	1233	261
825	1234	260
826	1235	258
827	1237	257
828	1239	255
829	1240	254
830	1241	252
831	1243	251
832	1244	249
833	1246	248
834	1247	246
835	1248	244
836	1250	243
837	1251	241
838	1252	240
839	1253	238
840	1255	237
841	1256	235
842	1257	234
843	1259	232
844	1260	231
845	1262	229
846	1263	228
847	1264	226
848	1266	225
849	1267	223
850	1268	222
851	1270	220
852	1271	219
853	1272	217
854	1274	216
855	1275	214
856	1276	213
857	1278	211
858	1279	210
859	1281	208
860	1282	207
861	1283	205
862	1285	204
863	1286	202
864	1287	200
865	1289	199
866	1290	197
867	1291	196
868	1293	194
869	1294	193
870	1296	191
871	1297	190
872	1299	188
873	1300	187
874	1301	185
875	1303	184
876	1305	183
877	1306	181
878	1308	180
879	1309	178
880	1311	177
881	1312	175
882	1313	174
883	1315	172
884	1316	171
885	1318	169
886	1319	168
887	1321	166
888	1322	165
889	1325	163
890	1326	162
891	1328	160
892	1329	159
893	1330	157
894	1332	156
895	1334	154
896	1337	153
897	1338	152
898	1339	150
899	1341	149
900	1342	147
901	1343	146
902	1345	144
903	1346	142
904	1347	141
905	1384	143
906	1386	142
907	1389	140
908	1391	139
909	1393	137
910	1395	136
911	1402	135
912	1418	135
913	1438	135
914	1439	133
915	1441	132
916	1452	131
917	1453	129
918	1455	128
919	1457	126
920	1459	125
921	1461	123
922	1462	122
923	1464	120
924	1465	118
925	1466	117
926	1482	116
927	1489	115
928	1496	114
929	1498	112
930	1500	111
931	1502	109
932	1504	108
933	1507	106
934	1509	104
935	1510	103
936	1512	101
937	1515	100
938	1517	98
939	1519	96
940	1521	95
941	1524	93
942	1526	92
943	1527	90
944	1528	88
945	1530	87
946	1532	85
947	1533	84
948	1534	82
949	1536	80
950	1538	79
951	1539	77
952	1540	75
953	1542	74
954	1543	72
955	1544	71
956	1546	69
957	1547	67
958	1548	66
959	1549	64
960	1551	62
961	1552	61
962	1554	59
963	1555	58
964	1556	56
965	1557	54
966	1559	53
967	1560	51
968	1561	49
969	1563	48
970	1564	46
971	1565	45
972	1567	43
973	1568	41
974	1570	40
975	1571	38
976	1572	37
977	1574	35
978	1575	33
979	1577	32
980	1578	30
981	1579	28
982	1580	27
983	1582	25
984	1583	24
985	1585	22
986	1586	20
987	1587	19
988	1589	17
989	1590	16
990	1591	14
991	1593	12
992	1594	11
993	1596	9
994	1598	8
995	1599	6
996	1600	4
997	1602	3
998	1603	1
999	1604	0
