iter	Passed	Remaining
0	145	145465
1	147	73758
2	149	49553
3	150	37446
4	151	30192
5	153	25380
6	154	21941
7	156	19376
8	158	17410
9	159	15786
10	160	14465
11	162	13353
12	163	12410
13	164	11613
14	166	10915
15	167	10300
16	168	9761
17	170	9307
18	172	8888
19	173	8496
20	174	8148
21	176	7829
22	177	7534
23	178	7266
24	180	7020
25	181	6790
26	182	6580
27	184	6407
28	186	6237
29	187	6071
30	189	5919
31	191	5781
32	192	5644
33	193	5509
34	195	5389
35	196	5270
36	198	5163
37	200	5068
38	201	4966
39	202	4868
40	204	4777
41	205	4690
42	206	4605
43	208	4524
44	209	4451
45	211	4378
46	213	4323
47	214	4258
48	216	4192
49	217	4129
50	218	4068
51	219	4009
52	221	3954
53	222	3898
54	223	3847
55	225	3796
56	226	3752
57	228	3710
58	229	3666
59	231	3621
60	232	3578
61	233	3539
62	235	3501
63	236	3463
64	238	3432
65	239	3395
66	241	3368
67	243	3336
68	244	3301
69	245	3267
70	247	3236
71	248	3204
72	249	3174
73	251	3143
74	252	3116
75	253	3087
76	255	3060
77	257	3041
78	258	3014
79	259	2988
80	261	2962
81	262	2937
82	263	2906
83	264	2886
84	266	2863
85	267	2840
86	268	2817
87	270	2798
88	271	2780
89	273	2763
90	274	2742
91	275	2722
92	277	2703
93	278	2685
94	279	2666
95	281	2647
96	282	2628
97	283	2610
98	285	2597
99	286	2582
100	288	2566
101	289	2550
102	291	2542
103	293	2527
104	294	2511
105	295	2495
106	297	2481
107	298	2466
108	300	2456
109	301	2442
110	303	2428
111	304	2413
112	305	2399
113	306	2385
114	308	2374
115	309	2361
116	310	2345
117	312	2333
118	314	2326
119	315	2314
120	317	2308
121	319	2297
122	320	2286
123	321	2274
124	323	2261
125	324	2250
126	325	2237
127	326	2226
128	328	2219
129	330	2211
130	332	2204
131	334	2198
132	335	2189
133	337	2179
134	339	2172
135	340	2164
136	342	2157
137	344	2152
138	345	2142
139	347	2136
140	349	2128
141	350	2115
142	351	2106
143	352	2097
144	354	2087
145	355	2078
146	357	2072
147	359	2069
148	361	2062
149	362	2056
150	364	2049
151	366	2042
152	367	2036
153	369	2029
154	373	2034
155	375	2030
156	376	2023
157	378	2016
158	380	2011
159	381	2003
160	382	1993
161	383	1985
162	385	1977
163	387	1973
164	388	1966
165	389	1959
166	391	1951
167	392	1943
168	393	1935
169	394	1927
170	396	1920
171	397	1912
172	398	1905
173	400	1899
174	401	1894
175	403	1887
176	404	1880
177	405	1874
178	407	1867
179	408	1860
180	409	1853
181	410	1846
182	412	1839
183	413	1833
184	414	1827
185	416	1823
186	418	1817
187	419	1811
188	420	1805
189	422	1799
190	423	1794
191	424	1788
192	426	1781
193	427	1775
194	428	1770
195	430	1767
196	432	1763
197	433	1757
198	435	1751
199	436	1745
200	437	1739
201	438	1733
202	440	1727
203	441	1723
204	442	1717
205	444	1713
206	446	1709
207	447	1704
208	448	1698
209	450	1694
210	451	1689
211	452	1683
